headword,entry_text,page,mode
wanan,"wanan s. especie de árbol wanan, wanan rojo o colorado. Kusinawek misa' piperwanakla a'nu'tulek. La mesa de mi cocina la mandé a hacer de ""wana"" colorado. cf: kuku'yu'-wanan; cf: tanan-wana, tananwanan. 479 yuyu'wa ¡aborrécele! luyuker' vt. ¡aborrécele! ¡agárratelo! ¡anda trae! manta'ker' vt. ¡anda trae! ¡Wilaúk, almidunlu'sha manta'ker'! Yanu'tulek puñilashalusa'! ¡Hija, anda trae almidón! Quiero preparar rosquillas. ¡cambia! nerpi'lanta'ker' vi. ¡cambia! ¡cásate (dicho a una mujer)! ¡contágiale! a'danter' vt. ¡contágiale! ¡chúpale/aspírale por la nariz! uwa'netchekker' vt. ¡chúpale/aspírale por la nariz! Nana wila chimidektuwiñi. ¡Teknanpiker, uwa'netchekker'! Ese niño casi se ahoga. ¡Sálvale, chúpale de la nariz! ¡déjalo como nuevo! apiyuku'ker' ( apiyuku'r) vt. ¡déjalo como nuevo! ¡desvélate! tuweklliker' ( tuwekllir') vi. ¡desvélate! ¡enjuágate la boca! ¡entra en su casa! da'ter' 1 vt. ¡visítalo! ¡entra en su casa! ¡Wiwiana da'ter'! ¡Visita a Viviana! ¡envíaselo! a'pa'ter' vb. ¡mándaselo! ¡envíaselo! ¡Wilapenlusa' kutunen a'pa'ter'! ¡Envía camisas a yuyu'wa tus hijos! ¡gatea! patekker' vi. ¡gatea! ¡haz empollar! ¡haz que se escape contigo ¡hazle malagüero! pekkiwanter' vt. ¡hazle malagüero! ¡huméale (para curarle)! chimu'ker' ( chimu'r) vt. ¡huméale (para curarle)! ¡huméale (para curarlo)! ¡lava (ropa)! peksa'dunker' vi. ¡lava (ropa)! ¡lechea ilanter' 3 vi. ¡flechea! ¡flecha! ¡olvídalo! nanerker'1 1 vt. ¡olvídalo! ¡olvídate! ¡ovilla! ¡has ovillo! pankuellinter' vi. ¡ovilla! ¡has ovillo! ¡ovíllalo! ¡enróllalo! pankuerker' vt. ¡ovíllalo! ¡enróllalo! ¡pasa adentro! da'kerker' vi. ¡entra! ¡pasa! ¡Da'kerker', du'ker'! Uklulu'sha mantetchek a'urken. ¡Entra, siéntate! Voy a traer masatito para invitarte. ¡perfóralo! pekwala'ter' vt. ¡perfóralo! ¡pon la yuca cruda en la olla! ¡pónselo! ¡ponte en la sombra! da'lerker' vi. ¡sombréate! ¡ponte en la sombra! Enpu'nipa' pekpu'palli. ¡Da'lerker'! Mucho está soleando. ¡Ponte bajo la sombra! yuyu'wa 480 ¡póntelo (ropa)! da'ter' 2 vt. ¡póntelo (ropa)! ¡Da'ter' piwala'lli'pen! ¡Ponte tu pantalón! ¡prénsalo con soga! ¡qué rico! enpu'ni iyashipa' interj. ¡qué rico! Kaiksha Chiushaku' peklu'nkudek uklupideknen a'ullundek. ¡Enpu'ni iyashipa'! Cuando la hermana finada Teodomira nos llamaba, nos invitaba su chicha punta. ¡Qué rico! ¡quédate descalzo! inapilantekker' vi. ¡quédate descalzo! ¡recuérdale ¡recuérdale! ¡reúnete (dicho a una mujer)! ¿ ¿por qué? mapu'a'su' 2 ¿por qué? ¿qué? ¿qué es pues? ma'nen a'ta' interrog. ¿qué? ¿qué es pues? ¿Ma'nen a'ta' lamapu'palli? ¿Qué es pues lo que está gritando? cf: ma'nen a'cha; cf: A a ¡rómpelo! (tela o papel) ¡sángralo! ¡extrae el líquido! pektanker' vt. ¡sángralo! ¡extrae el líquido! ¡sé fuerte! nantapiker' ( nantapir') vi. ¡sé fuerte! ¡sedúcelo! ¡úntalo! wika'ter'1 2 ( wiker') vt. ¡úntalo! ¡Tanta'pen dekpantan wika'ter waka'mudideklu'lek! ¡Parte tu pan en dos y úntalo con mantequilla! ¡ven a aparecer! pekpikerker' vi. ¡ven a aparecer! ¡visítalo! da'ter' 1 vt. ¡visítalo! ¡entra en su casa! ¡Wiwiana da'ter'! ¡Visita a Viviana! ¡vístete! i'shiwen ( i'shiwanker') vi. ¡vístete! ¡cámbiate de ropa! ma'a'ta'. 481 yuyu'wa a cada rato, constantemente, a menudo. utalinpu' adv. a cada rato, constantemente, a menudo. Wa'dantekwek utalinpu' wer'lli. Mi gallina constantemente se pierde. a causa de eso nana malek conect. a causa de eso, por eso, debido a eso. Kulla wa'danteknen denler luwek'ita'su' ñi'ñi, nana malek Yurimawek pa'i'ñi. No había quien cuide las gallinas de Julia, a causa de eso no fue a Yurimaguas.",480,es
api'ka'pi,a la brasa api'ka'pi nom. a la brasa. Yurimawek wa'dantek api'ka'pi ka'pa'tamu enpu'nipa' inshi'lek. En Yurimaguas por comer ese pollo a la brasa me dio mucha indigestión/vinagrera. clf: pi3 1.,483,es
a,"a la casa pidik [pidík] adv. en la casa, a la casa. ¡Pidik llia'ker'! ¡Quédate en la casa!",483,es
ipui'pa,a la misma hora ipui'pa adv. a la misma hora. Kua adencha'lek menminwekeklan nunpi'dunsik. Ipui'pa' ya' adencha'lek. Yo regresé de mi chacra en la tarde. A la misma hora volví ayer. a los pies de la cama lanchik (,483,es
lantekkek),"lantekkek) adv. a los pies de la cama, en la piecera de la yuyu'wa cama. ¡Lanchik pekkuer'! ¡Échate en la piecera de la cama! ¡Lantekkek pekkuer'! ¡Échate en la piecera de la cama!; lantekkek ( lanchik) adv. a los pies de la cama, en la piecera de la cama. ¡Lantekkek pekkuer'! ¡Échate en la piecera de la cama!",483,es
nanpilu',"a medio cocinar nanpilu' nom. a medio cocinar, medio crudo. Asu' ker' nanpilu', ka'i'nchek. Esta yuca está medio cruda, no la voy a comer. clf: lu'2. a pesar de -pi'2 a pesar, sin siquiera. Madu lli'ankupi'nta' tekkapi'ñi. El motelo aunque me vea no corre. Ipa'la nerpi'la llillin aku'llina' ñinchiluinpu'a'pi'na'. Ahora ponen nombres extranjeros (a sus hijos) sin siquiera saber hablar (la lengua). cf: -la'pi'. a qué hora enpulu 1 interrog. ¿a qué hora? ¿cuándo? ¿Enpulu wichi'chu? ¿A qué hora vas a dormir? ; enpului'na interrog. ¿a qué hora? ¿Enpului'na unchi'chu? ¿A qué hora vas a venir? a qué hora, cuándo",483,es
a,"a su -ñik s. > adv. en su, a su. Ñima ya'da'dek'i'ñi yuyu'wa 482 pidekñik. No le permitía a nadie entrar en su casa. Kullasha terapalli wayusa' menmiñik, yauku'latan ladanen Yurimawek. Julita está sembrando café en su chacra, con la intención de vender sus granos en Yurimaguas. Pulu indi'tusik lantekñik Iduler pipeklli. Cuando Pablo se cortó en su pie Eduardo lo cargó.",483,es
inapu'su',"a todas partes inapu'su' adv. por todas partes, a todas partes, en todas partes. Kua tanak pa'amu lauklek dunkululun inapu'su' peklalli. Cuando me fui al monte escuché cantar a las perdices por todas partes. Pulu kamashitutek. Inapu'su' a'pa'deklli kamashidek'an. Pablo es mandón. Manda a otros a todas partes. a través de =lupa' adpos por, a través de. Lalanerñenlupa' dekler da'tulli asu' wila. Por las fosas nasales le entró agua a ese niño. Yurimawa'lupa' ñapalli kasetchu' luwetchinpu'a'kawa'su' inalupa' Por Yurimaguas hay frutas que no conocemos por acá.",484,es
nerpi'pu',"a veces nerpi'pu' adv. a veces, de vez en cuando. Sirapina ñinchiilantulli. Tanak pa'an, amantek dei'tulli, nerpi'pu' laman ilañin. Serafina sabe balear. Cuando va al monte mata sajino y a veces balea huangana. a veces, de vez en cuando a ver pues enta'n interj. ¡a ver pues! Enta'n lunchek ipa'la asu' ma'pu'sui'pa' kankantanna' Shiwiluku'lusa' Muyunpa yaluwerchullina'. A ver pues, voy a contar ahora cómo se les habrá ocurrido a los Shiwilu finados conocer Moyobamba. a, al =k 2 ( =ek; =kek) post. a. Tanak pa'an tatawek ilantulli amantek, laman. Yendo al monte mi padre mataba sajino y huangana.",484,es
"abajo,","abajo, bajo dawík adv. abajo, bajo. Asu' erwi dawík ñitulli. Esta guayaba echó frutos bajito. ¡Kutenker', dawík luser'ker'! ¡Mira arriba y después mira abajo! cf: dawishek.",484,es
