headword,entry_text,page,mode
a'adanter',"a'adanter' vb. ¡devuélveselo! ¡A'adanter' sawellinen Kullan! ¡Devuélvele su machete a Julián! *a'adantulli *a'adantapalli *a'anu'tapalli, a'anutapalli (*a'anu'tulli, a'anutulli) vt. 1) tumbar, derribar, hacer caer algo o a alguien, dejar caer algo o a alguien. A'anu'tulli. Lo hizo caer. 2) abortar. Luyan ka'inpu' a'anutulli ku'aperwawa. Como no comió lo que se le antojaba, ella abortó un feto femenino. *a'anu'tulli, a'anutulli *a'anu'tapalli, a'anutapalli",5,shi
a'cha,a'cha prt. partícula interrogativa enfática. ¿Denken a'cha? ¿Quién pues eres? ¿Ma'llin a'cha kenmá? ¿Cómo te llamas? cf: a'ta'. *a'chi'yek'apalli (*a'chi'yeklli) vt. liberar a alguien. Pidir a'chi'yekllun sipukla. Fidel me liberó del calabozo. val.: *chi'yek'apalli. a'chi'yekter' 4,5,shi
a'chi'yekker',a'chi'yekker' vt. ¡libéralo! ¡Nana ku'aper a'chi'yekker' sipuklan! Ma'nen nu'chi'ñi. ¡Libera a esa mujer del calabozo porque es inocente! *a'chi'yeklli *a'chi'yek'apalli,6,shi
a'chi'yekter',a'chi'yekter' vt. ¡libéralo! ¡libérala! ¡Shada a'chi'yekter' sipuklan luper'a'su' malek! ¡Libera a Sadith del calabozo porque está borracha!,6,shi
a'chi'yektutek,"a'chi'yektutek nom. liberador, libertador. Napi'lusa' kenma'ku'lusa' a'chi'yektuteklusa'. Nawa' idenmallina' Ishpaña muda'lusa'lek. Antiguamente, los indios antiguos han sido liberadores. Ellos han luchado contra los españoles. *a'chu'kentapalli (*a'chu'kentulli) vt. hacer pandillar a la gente, especialmente tocando la yupana y el tamborcillo. Papawek silutan a'chu'kentulli. Mi padre yupaneando hizo pandillar (a la gente).",6,shi
a'chu'kenter',a'chu'kenter' vt. ¡hazlo pandillar! ¡Silutan a'chu'kenter' muda'lusa'! ¡Toca la yupana y haz pandillar a la gente! *a'chu'kentulli *a'chu'kentapalli,6,shi
a'da'apalli,"a'da'apalli (a'da'lli) vt. poner, hacer calzar. Sapatu i'na lantekkek a'da'llina'. El zapato está puesto en el pie. val.: a'da'tapalli.",6,shi
a'da'ker',"a'da'ker' (a'der') vt. ¡hazlo entrar! ¡hazlo calzar! ¡A'da'ker' asu' yumutu' enpuna! ¡Métale este mango al hacha! ¡Nana wa'dantek a'der'! ¡Haz entrar a la gallina! a'da'lli a'da'apalli, a'da'palli",6,shi
a'da'palli,a'da'palli (a'da'lli) vt. hacer entrar. Ñiñi'waler etchek a'da'lli lupa'lalak. ¡Di'tawa'! El perro hizo entrar al añuje en la tierra. ¡Vamos a matarlo!,6,shi
a'da'tapalli,a'da'tapalli (a'da'tulli) vb. ponerle algo a alguien. Asu' Yusha ya'da'chi'ñi sapatunen yuye'nsha. Rosa no le quiere poner su zapato a su hermanito. val.: a'da'apalli.,6,shi
