headword,entry_text,page
a'adantapalli,*a'adantapalli (*a'adantulli) vb. devolver algo a alguien.,5
a'adanter',a'adanter' vb. ¡devuélveselo!,5
a'anu'tapalli,"*a'anu'tapalli, a'anutapalli (*a'anu'tulli, a'anutulli) vt. 1) tumbar, derribar, hacer",5
a'cha,a'cha prt. partícula interrogativa enfática. ¿Denken a'cha? ¿Quién pues eres? ¿Ma'llin,5
a'chi'yek'apalli,*a'chi'yek'apalli (*a'chi'yeklli) vt. liberar a alguien. Pidir,5
a'chi'yekker',a'chi'yekker' vt. ¡libéralo! ¡Nana ku'aper,6
a'chi'yekter',a'chi'yekter' vt. ¡libéralo! ¡libérala! ¡Shada,6
a'chi'yektutek,"a'chi'yektutek nom. liberador, libertador. Napi'lusa'",6
a'chu'kentapalli,*a'chu'kentapalli (*a'chu'kentulli) vt. hacer,6
a'chu'kenter',a'chu'kenter' vt. ¡hazlo pandillar! ¡Silutan a'chu'kenter',6
a'da'apalli,"a'da'apalli (a'da'lli) vt. poner,",6
a'da'ker',a'da'ker' (a'der') vt. ¡hazlo entrar! ¡hazlo calzar!,6
a'da'palli,a'da'palli (a'da'lli) vt. hacer entrar. Ñiñi'waler etchek,6
a'da'tapalli,a'da'tapalli (a'da'tulli) vb.,6
a'da'ter',a'da'ter' vb. ¡pónselo! ¡ponle!,6
a'da'wilek'apalli,a'da'wilek'apalli (a'da'wileklli) vt. cambiar,6
a'da'wilekker',a'da'wilekker' vt. ¡cámbialo! ¡reemplázalo! Nana,7
a'dandektapalli,*a'dandektapalli (*a'dandektulli) vt. pescar con canasto. Wilawek,7
a'dandekter',a'dandekter' vt. ¡péscalo con canasto! ¡Pekta,7
a'dandektunan,a'dandektunan s. red de pescar.,7
a'danker'1,a'danker'1 vt. ¡péscalo con,7
a'danker'2,a'danker'2 vt. ¡péinale!,7
a'danpalli1,*a'danpalli1 (*a'dañi1) vt. peinar. Ekkuinanlek,7
a'danpalli2,*a'danpalli2 (*a'dañi2) vt.,7
a'dantapalli,*a'dantapalli (*a'dantulli) vt.,7
a'danter',a'danter' vt. ¡contágiale!,7
a'diuntundekker',a'diuntundekker' vt. ¡reúnelos!,7
